Date,Time,"Solar Radiation (S-LIB 21038195:21025504-1),W/m²,Tracadie Wharf","Rain (S-RGB 21038195:21038368-1),mm,Tracadie Wharf","Wind Direction (S-WCF 21038195:21038454-3),°,Tracadie Wharf","Temperature (S-TMB 21038195:21098956-1),°C,Tracadie Wharf","Battery (RX3000 BATTERY 21038195:21038195-B),V,Tracadie Wharf","Barometric Pressure (M-BP 21038195:21548412-1),kPa,Tracadie Wharf","Water Pressure (M-WP04 21038195:21558158-1),kPa,Tracadie Wharf","Diff Pressure (M-DP04 21038195:21558158-2),kPa,Tracadie Wharf","Water Temperature (M-WT 21038195:21558158-3),°C,Tracadie Wharf","Water Level (M-WL04 21038195:21558158-4),meters,Tracadie Wharf","Accumulated Rain (C-ACC-RAIN 21038195:21038368-2),mm,Tracadie Wharf,Tracadie Harbour","Average wind speed (S-WCF 21038195:21038454-1),Km/h,Tracadie Wharf","Wind gust  speed (S-WCF 21038195:21038454-2),Km/h,Tracadie Wharf"
11/01/2024,00:00:00 -0300,1,0,181,14.15,,,,,,,,19,26
11/01/2024,00:02:00 -0300,1,0,180,14.17,,,,,,,,20,30
11/01/2024,00:03:00 -0300,,,,,4.274,100.934,104.896,3.962,9.09,-0.52062,,,
11/01/2024,00:04:00 -0300,1,0,181,14.29,,,,,,,,23,31
11/01/2024,00:06:00 -0300,1,0,180,14.31,,,,,,,,22,28
11/01/2024,00:08:00 -0300,1,0,185,14.29,4.269,100.915,104.848,3.933,9.09,-0.52357,,20,24
11/01/2024,00:10:00 -0300,1,0,178,14.27,,,,,,,,22,25
11/01/2024,00:12:00 -0300,1,0,178,14.24,,,,,,,,18,22
11/01/2024,00:13:00 -0300,,,,,4.268,100.915,104.795,3.88,9.09,-0.52884,,,
11/01/2024,00:14:00 -0300,1,0,181,14.34,,,,,,,,20,28
11/01/2024,00:16:00 -0300,1,0,184,14.36,,,,,,,,19,24
11/01/2024,00:18:00 -0300,1,0,185,14.29,4.274,100.912,104.68,3.768,9.09,-0.53997,,20,29
11/01/2024,00:20:00 -0300,1,0,183,14.24,,,,,,,,19,25
11/01/2024,00:22:00 -0300,1,0,184,14.34,,,,,,,,20,32
11/01/2024,00:23:00 -0300,,,,,4.271,100.912,104.652,3.74,8.99,-0.54276,,,
11/01/2024,00:24:00 -0300,1,0,181,14.29,,,,,,,,20,25
11/01/2024,00:26:00 -0300,1,0,181,14.19,,,,,,,,19,25
11/01/2024,00:28:00 -0300,1,0,180,14.29,4.268,100.895,104.563,3.668,8.99,-0.54986,,22,32
11/01/2024,00:30:00 -0300,1,0,175,14.27,,,,,,,,20,26
11/01/2024,00:32:00 -0300,1,0,177,14.15,,,,,,,,20,26
11/01/2024,00:33:00 -0300,,,,,4.274,100.893,104.471,3.578,8.99,-0.55888,,,
11/01/2024,00:34:00 -0300,1,0,181,14.15,,,,,,,,20,25
11/01/2024,00:36:00 -0300,1,0,178,14.07,,,,,,,,19,25
11/01/2024,00:38:00 -0300,1,0,178,14.12,4.269,100.902,104.466,3.564,8.99,-0.56022,,19,24
11/01/2024,00:40:00 -0300,1,0,177,14.12,,,,,,,,22,28
11/01/2024,00:42:00 -0300,1,0,183,14.15,,,,,,,,20,26
11/01/2024,00:43:00 -0300,,,,,4.266,100.909,104.382,3.473,8.99,-0.56927,,,
11/01/2024,00:44:00 -0300,1,0,184,14.15,,,,,,,,19,25
11/01/2024,00:46:00 -0300,1,0,183,14.15,,,,,,,,18,28
11/01/2024,00:48:00 -0300,1,0,177,14.1,4.272,100.912,104.298,3.386,8.99,-0.57791,,19,28
11/01/2024,00:50:00 -0300,1,0,180,14.15,,,,,,,,20,28
11/01/2024,00:52:00 -0300,1,0,183,14.12,,,,,,,,20,25
11/01/2024,00:53:00 -0300,,,,,4.268,100.914,104.32,3.406,8.99,-0.57591,,,
11/01/2024,00:54:00 -0300,1,0,185,14.22,,,,,,,,22,26
11/01/2024,00:56:00 -0300,1,0,181,14.24,,,,,,,,22,29
11/01/2024,00:58:00 -0300,1,0,180,14.12,4.266,100.91,104.223,3.313,8.99,-0.58518,,22,26
11/01/2024,01:00:00 -0300,1,0,181,14.12,,,,,,,,22,32
11/01/2024,01:02:00 -0300,1,0,183,14.17,,,,,,,,22,26
11/01/2024,01:03:00 -0300,,,,,4.269,100.886,104.148,3.262,8.99,-0.59027,,,
11/01/2024,01:04:00 -0300,1,0,178,14.22,,,,,,,,23,28
11/01/2024,01:06:00 -0300,1,0,178,14.15,,,,,,,,22,36
11/01/2024,01:08:00 -0300,1,0,178,14.17,4.272,100.892,104.086,3.194,8.99,-0.59701,,19,30
11/01/2024,01:10:00 -0300,1,0,177,14.12,,,,,,,,20,25
11/01/2024,01:12:00 -0300,1,0,178,14.05,,,,,,,,19,26
11/01/2024,01:13:00 -0300,,,,,4.265,100.892,104.086,3.194,8.99,-0.59701,,,
11/01/2024,01:14:00 -0300,1,0,175,14,,,,,,,,17,20
11/01/2024,01:16:00 -0300,1,0,178,14,,,,,,,,19,28
11/01/2024,01:18:00 -0300,1,0,178,13.98,4.269,100.873,104.104,3.231,8.99,-0.59337,,18,23
11/01/2024,01:20:00 -0300,1,0,181,14,,,,,,,,18,23
11/01/2024,01:22:00 -0300,1,0,180,13.88,,,,,,,,18,23
