Date,Time,"Solar Radiation (S-LIB 21038195:21025504-1),W/m²,Tracadie Wharf","Rain (S-RGB 21038195:21038368-1),mm,Tracadie Wharf","Wind Direction (S-WCF 21038195:21038454-3),°,Tracadie Wharf","Temperature (S-TMB 21038195:21098956-1),°C,Tracadie Wharf","Battery (RX3000 BATTERY 21038195:21038195-B),V,Tracadie Wharf","Barometric Pressure (M-BP 21038195:21548412-1),kPa,Tracadie Wharf","Water Pressure (M-WP04 21038195:21558158-1),kPa,Tracadie Wharf","Diff Pressure (M-DP04 21038195:21558158-2),kPa,Tracadie Wharf","Water Temperature (M-WT 21038195:21558158-3),°C,Tracadie Wharf","Water Level (M-WL04 21038195:21558158-4),meters,Tracadie Wharf","Accumulated Rain (C-ACC-RAIN 21038195:21038368-2),mm,Tracadie Wharf,Tracadie Harbour","Average wind speed (S-WCF 21038195:21038454-1),Km/h,Tracadie Wharf","Wind gust  speed (S-WCF 21038195:21038454-2),Km/h,Tracadie Wharf"
10/28/2024,23:28:00 -0300,1,0,265,4.53,4.131,103.048,109.023,5.975,7.99,-0.32042,,12,17
10/28/2024,23:30:00 -0300,1,0,268,4.53,,,,,,,,18,25
10/28/2024,23:32:00 -0300,1,0,257,4.61,,,,,,,,17,24
10/28/2024,23:33:00 -0300,,,,,4.172,103.024,108.956,5.932,7.99,-0.32463,,,
10/28/2024,23:34:00 -0300,1,0,257,4.82,,,,,,,,14,25
10/28/2024,23:36:00 -0300,1,0,293,5.59,,,,,,,,28,42
10/28/2024,23:38:00 -0300,1,0,306,5.57,4.19,103.023,109.115,6.093,7.99,-0.30869,,37,42
10/28/2024,23:40:00 -0300,1,0,310,5.51,,,,,,,,36,43
10/28/2024,23:42:00 -0300,1,0,313,5.59,,,,,,,,31,38
10/28/2024,23:43:00 -0300,,,,,4.185,103.035,109.235,6.2,7.99,-0.29799,,,
10/28/2024,23:44:00 -0300,1,0,307,5.82,,,,,,,,29,36
10/28/2024,23:46:00 -0300,1,0,314,5.8,,,,,,,,29,34
10/28/2024,23:48:00 -0300,1,0,310,6,4.188,103.034,109.149,6.115,7.89,-0.30641,,30,38
10/28/2024,23:50:00 -0300,1,0,289,5.87,,,,,,,,29,37
10/28/2024,23:52:00 -0300,1,0,277,5.41,,,,,,,,29,38
10/28/2024,23:53:00 -0300,,,,,4.194,103.035,109.052,6.017,7.89,-0.31619,,,
10/28/2024,23:54:00 -0300,1,0,279,5.49,,,,,,,,29,40
10/28/2024,23:56:00 -0300,1,0,277,5.26,,,,,,,,30,37
10/28/2024,23:58:00 -0300,1,0,272,5.08,4.194,103.056,109.107,6.051,7.99,-0.31285,,26,32
10/29/2024,00:00:00 -0300,1,0,277,4.92,,,,,,,,25,38
10/29/2024,00:02:00 -0300,1,0,277,4.74,,,,,,,,29,38
10/29/2024,00:03:00 -0300,,,,,4.193,103.066,109.145,6.079,7.89,-0.31003,,,
10/29/2024,00:04:00 -0300,1,0,277,4.66,,,,,,,,22,30
10/29/2024,00:06:00 -0300,1,0,285,4.66,,,,,,,,22,29
10/29/2024,00:08:00 -0300,1,0,278,4.45,4.197,103.051,108.977,5.926,7.89,-0.32527,,10,20
10/29/2024,00:10:00 -0300,1,0,286,4.66,,,,,,,,12,23
10/29/2024,00:12:00 -0300,1,0,300,5.28,,,,,,,,23,32
10/29/2024,00:13:00 -0300,,,,,4.188,103.045,108.955,5.91,7.89,-0.32687,,,
10/29/2024,00:14:00 -0300,1,0,306,5.67,,,,,,,,29,36
10/29/2024,00:16:00 -0300,1,0,303,5.72,,,,,,,,28,37
10/29/2024,00:18:00 -0300,1,0,310,5.67,4.193,103.063,109.118,6.055,7.89,-0.31238,,30,43
10/29/2024,00:20:00 -0300,1,0,313,5.72,,,,,,,,31,35
10/29/2024,00:22:00 -0300,1,0,309,5.8,,,,,,,,32,40
10/29/2024,00:23:00 -0300,,,,,4.197,103.064,109.36,6.296,7.79,-0.28841,,,
10/29/2024,00:24:00 -0300,1,0,310,5.74,,,,,,,,28,34
10/29/2024,00:26:00 -0300,1,0,316,5.74,,,,,,,,30,37
10/29/2024,00:28:00 -0300,1,0,314,5.92,4.188,103.059,109.285,6.226,7.79,-0.2954,,29,36
10/29/2024,00:30:00 -0300,1,0,306,5.95,,,,,,,,26,37
10/29/2024,00:32:00 -0300,1,0,285,5.8,,,,,,,,29,41
10/29/2024,00:33:00 -0300,,,,,4.191,103.062,109.211,6.149,7.89,-0.30303,,,
10/29/2024,00:34:00 -0300,1,0,307,5.92,,,,,,,,32,42
10/29/2024,00:36:00 -0300,1,0,306,5.74,,,,,,,,34,40
10/29/2024,00:38:00 -0300,1,0,307,5.57,4.197,103.062,109.365,6.303,7.79,-0.28777,,35,41
10/29/2024,00:40:00 -0300,1,0,312,5.44,,,,,,,,34,43
10/29/2024,00:42:00 -0300,1,0,312,5.51,,,,,,,,35,41
10/29/2024,00:43:00 -0300,,,,,4.19,103.079,109.435,6.356,7.79,-0.28242,,,
10/29/2024,00:44:00 -0300,1,0,310,5.51,,,,,,,,31,37
10/29/2024,00:46:00 -0300,1,0,314,5.51,,,,,,,,29,38
10/29/2024,00:48:00 -0300,1,0,314,5.57,4.193,103.088,109.453,6.365,7.79,-0.28156,,29,35
10/29/2024,00:50:00 -0300,1,0,312,5.39,,,,,,,,30,40
10/29/2024,00:52:00 -0300,1,0,313,5.31,,,,,,,,32,42
10/29/2024,00:53:00 -0300,,,,,4.197,103.085,109.36,6.275,7.79,-0.2905,,,
10/29/2024,00:54:00 -0300,1,0,307,5.44,,,,,,,,30,37
10/29/2024,00:56:00 -0300,1,0,313,5.46,,,,,,,,31,37
10/29/2024,00:58:00 -0300,1,0,316,5.23,4.191,103.086,109.403,6.317,7.69,-0.28635,,30,38
10/29/2024,01:00:00 -0300,1,0,314,5.23,,,,,,,,30,36
10/29/2024,01:02:00 -0300,1,0,312,5.33,,,,,,,,30,37
10/29/2024,01:03:00 -0300,,,,,4.193,103.098,109.505,6.407,7.69,-0.27742,,,
10/29/2024,01:04:00 -0300,1,0,310,5.39,,,,,,,,28,40
10/29/2024,01:06:00 -0300,1,0,314,5.39,,,,,,,,25,31
10/29/2024,01:08:00 -0300,1,0,307,5.49,4.197,103.08,109.611,6.531,7.69,-0.26506,,28,35
10/29/2024,01:10:00 -0300,1,0,292,5.18,,,,,,,,24,32
10/29/2024,01:12:00 -0300,1,0,284,5.08,,,,,,,,30,37
10/29/2024,01:13:00 -0300,,,,,4.191,103.096,109.57,6.474,7.59,-0.27077,,,
